Code,Cities,State,Airport_Name
10064,Wien Lake,AK,Wien Lake Airport
10065,Silver Salmon Creek,AK,Silver Salmon Creek Airport
10066,Blear Lake,AK,Blear Lake Airport
10067,Cannery Bay,AK,Cannery Bay Airport
10069,Bear Lake,AK,Johnsons Landing
10070,International Seafoods,AK,International Seafoods Airport
10071,Cosna River,AK,Cosna River Airport
10072,Ivatuk,AK,Ivatuk Airport
10074,Cape Sarichef,AK,Cape Sarichef Airport
10075,Taylor Mountain Mine,AK,Taylor Mountain
10076,Yukon Charley Rivvers,AK,Coal Creek
10078,Karluk Portage,AK,Karluk Portage Airport
10079,Hope,AK,Hope Airport
10080,Viekoda Bay,AK,Viekoda Bay Airport
10082,Cold Bay,AK,Cathedral Strip
10083,Village Islands,AK,Village Islands Airport
10084,Homer,AK,Bear Cove Farm
10085,Chinitna Bay,AK,Chinitna Bay Airport
10086,McKinley Park,AK,McKinley National Park
10087,Nanwalek,AK,Dog Fish Bay
10088,Malina Bay,AK,Malina Bay Airport
10089,Red Fox Bay,AK,Red Fox Bay Airport
10090,Shearwater,AK,Shearwater Airport
10091,Cape Simpson,AK,Lake
10092,Cape Simpson,AK,Cape Simpson No. 1
10093,Cape Simpson,AK,Cape Simpson No. 7
10094,Aglaq,AK,Cape Simpson #1
10095,Nikiski,AK,Nikiski Private Airstrip
10096,Petrof Point,AK,Petrof Point Airport
10097,Denali,AK,Denali West Lodge Private
10098,Big River,AK,Big River Airport
10100,Carry Inlet,AK,Carry Inlet Airport
10102,Montague Island,AK,Montague Island Airport
10103,Shannon Pond,AK,Shannon Pond Airport
10104,Omalik Lagoon,AK,Omalik Lagoon Airport
10105,Omolik Lagoon,AK,Omolik Lagoon Airport
10106,Bradley Lake Project,AK,Bradley Lake Project Airport
10107,Barrow,AK,Ice Strip
10108,Barrow,AK,Ice Strip
10109,Barrow,AK,Ice Strip
10110,Akulik,AK,Akulik Air Strip
10111,Deadfall,AK,Deadfall Air Strip
10112,Eagle Creek,AK,Eagle Creek Airport
10113,Bethel,AK,Ice Kong
10116,Kachemak Bay,AK,Glacier Split
10117,Selby Lake,AK,Selby Lake Airport
10122,Apalachicola,FL,Apalachicola Regional Cleve Randolph Field
10135,Allentown/Bethlehem/Easton,PA,Lehigh Valley International
10136,Abilene,TX,Abilene Regional
10139,Ambler,AK,Ambler River
10140,Albuquerque,NM,Albuquerque International Sunport
10141,Aberdeen,SD,Aberdeen Regional
10146,Albany,GA,Southwest Georgia Regional
10149,Bellaire,MI,Antrim County
10154,Nantucket,MA,Nantucket Memorial
10155,Waco,TX,Waco Regional
10157,Arcata/Eureka,CA,California Redwood Coast Humboldt County
10158,Atlantic City,NJ,Atlantic City International
10165,Adak Island,AK,Adak
10167,Ardmore,OK,Ardmore Municipal
10170,Kodiak,AK,Kodiak Airport
10171,Dallas,TX,Addison
10172,Camp Springs,MD,Joint Base Andrews
10176,Aleneva,AK,Aleneva Airport
10184,Allakaket,AK,Allakaket Airport
10185,Alexandria,LA,Alexandria International
10189,Colorado Springs,CO,USAF Academy Davis Airfield
10190,Nebraska,NE,Nebraska City Municipal
10191,Afton,WY,Afton Lincoln County Gen Boyd L Eddins Field
10192,Wadesboro,NC,Anson County Jeff Cloud Field
10194,Dallas/Fort Worth,TX,Perot Field Fort Worth Alliance
10198,Pittsburgh,PA,Allegheny County
10204,Angoon,AK,Angoon Seaplane Base
10208,Augusta,GA,Augusta Regional at Bush Field
10215,Ardmore,OK,Ardmore Downtown Executive
10216,Athens,GA,Athens/Ben Epps
10219,Amchitka Island,AK,Amchitka
10221,Alliance,NE,Alliance Municipal
10222,Anita Bay,AK,Anita Bay Airport
10223,Anderson,IN,Anderson Regional
10224,Aiken,SC,Aiken Regional
10225,Wainwright,AK,Wainwright Airport
10227,Atlantic City,NJ,Bader Field
10228,Lake of the Ozarks,MO,Lee C Fine Memorial
10237,Atka,AK,Atka Airport
10238,Akron,OH,Akron Fulton International
10241,Akiak,AK,Akiak Airport
10243,Akhiok,AK,Akhiok Airport
10245,King Salmon,AK,King Salmon Airport
10246,Akron,CO,Colorado Plains Regional
10247,Anaktuvuk Pass,AK,Anaktuvuk Pass Airport
10253,Albertville,AL,Albertville Regional-Thomas J Brumlik Field
10254,Alabaster,AL,Shelby County
10255,Huntsville,AL,Huntsville Executive Tom Sharp Jr
10257,Albany,NY,Albany International
10259,Alpine,TX,Alpine Casparis Municipal
10263,Alice,TX,Alice International
10266,Alamogordo,NM,Alamogordo White Sands Regional
10267,Alton,IL,St. Louis Regional
10268,Waterloo,IA,Waterloo Regional
10272,Alamosa,CO,San Luis Valley Regional/Bergman Field
10275,Walla Walla,WA,Walla Walla Regional
10276,Alexander City,AL,Thomas C. Russell Field
10278,Lazy Bay,AK,Alitak Seaplane Base
10279,Amarillo,TX,Rick Husband Amarillo International
10285,Durango,CO,Animas Air Park
10288,Alma,MI,Gratiot Community
10294,Ames,IA,Ames Municipal
10297,Anaheim,CA,Anaheim-Disneyland HP
10298,Anniston,AL,Anniston Regional
10299,Anchorage,AK,Ted Stevens Anchorage International
10300,Anderson,SC,Anderson Regional
10304,Aniak,AK,Aniak Airport
10307,Annette,AK,Annette Island
10309,Annapolis,MD,Lee
10313,Anvik,AK,Anvik Airport
10317,Lima,OH,Lima Allen County
10322,Altoona,PA,Altoona-Blair County
10324,Amook Bay,AK,Amook Bay Airport
10325,Denver,CO,Centennial
10327,Napa,CA,Napa County
10329,Naples,FL,Naples Municipal
10330,Aberdeen,MD,Phillips AAF
10333,Alpena,MI,Alpena County Regional
10336,Jasper,TN,Marion County Brown Field
10337,Apple Valley,CA,Apple Valley Airport
10344,Girdwood,AK,Girdwood Airport
10345,Russellville,AR,Russellville Regional
10346,Conway,AR,Dennis F Cantrell Field
10347,New Iberia,LA,Acadiana Regional
10348,Ann Arbor,MI,Ann Arbor Municipal
10349,Arctic Village,AK,Arctic Village Airport
10351,Arecibo,PR,Antonio/Nery/Juarbe Pol
10352,Walnut Ridge,AR,Walnut Ridge Regional
10361,Watertown,NY,Watertown International
10363,Minocqua/Woodruff,WI,Lakeland/Noble F. Lee Memorial Field
10365,Asbury Park,NJ,Asbury Park/Monmouth County
10372,Aspen,CO,Aspen Pitkin County Sardy Field
10374,Nashua,NH,Boire Field
10378,Marshall,TX,Harrison County
10380,Talladega,AL,Talladega Municipal
10383,Austin,NV,Austin Airport
10385,Astoria/Seaside,OR,Astoria Regional
10388,Ashland,WI,John F Kennedy Memorial
10389,Ashley,ND,Ashley Municipal
10393,Antlers,OK,Antlers Municipal
10396,Atqasuk,AK,Atqasuk Edward Burnell Sr. Memorial
10397,Atlanta,GA,Hartsfield-Jackson Atlanta International
10400,Athens,OH,Ohio University
10404,Artesia,NM,Artesia Municipal
10405,Atmautluak,AK,Atmautluak Airport
10406,Attu,AK,Casco Cove CGS
10408,Appleton,WI,Appleton International
10409,Watertown,SD,Watertown Regional
10414,Augusta/Waterville,ME,Augusta State
10416,Alakanuk,AK,Alakanuk Airport
10417,Austin/Albert Lea,MN,Austin Municipal
10418,Auburn,CA,Auburn Municipal
10419,Auburn,AL,Auburn University Regional
10423,Austin,TX,Austin - Bergstrom International
10424,Wausau,WI,Wausau Downtown
10427,Aurora,IL,Aurora Municipal
10431,Asheville,NC,Asheville Regional
10433,Avon Park,FL,Avon Park Executive
10434,Scranton/Wilkes-Barre,PA,Wilkes Barre Scranton International
10436,Tucson,AZ,Marana Regional
10437,Avalon,CA,Catalina
10439,Wake Island,TT,Wake Island Airfield
10440,West Memphis,AR,West Memphis Municipal
10442,Andrews,TX,Andrews County
10445,Alexandria Bay,NY,Maxson Airfield
10449,Alexandria,MN,Alexandria Regional Chandler Field
10451,Altus,OK,Altus/Quartz Mountain Regional
10454,Wapakoneta,OH,Neil Armstrong
10455,Eagle Nest,NM,Angel Fire
10460,Waycross,GA,Waycross-Ware County
10463,Grand Canyon,AZ,Valle
10464,Williams,AZ,H. A. Clark Memorial Field
10465,Glendale,AZ,Glendale Regional
10466,Phoenix,AZ,Mesa Gateway
10469,Kalamazoo,MI,Kalamazoo/Battle Creek International
10471,Biddeford,ME,Biddeford Municipal
10472,Carrabassett,ME,Sugarloaf Regional
10474,Marysville,CA,Beale AFB
10476,Shreveport,LA,Barksdale AFB
10478,Westfield,MA,Westfield Barnes Regional
10484,Battle Mountain,NV,Battle Mountain Airport
10487,Baker Island,AK,Baker AAF
10494,Bay City,TX,Bay City Regional
10495,Burlington,MA,N Eng Heliport
10504,Blue Bell,PA,Wings Field
10508,Blacksburg,VA,Virginia Tech Montgomery Exec
10509,Bear Creek,AK,Bear Creek Airport
10511,Bryce Canyon,UT,Bryce Canyon Airport
10514,Crestone,CO,Baca Grande
10518,Belle Chasse,LA,Southern Seaplane
10519,Boca Raton,FL,Boca Raton Public
10523,Baudette,MN,Baudette International
10524,Blanding,UT,Blanding Municipal
10529,Hartford,CT,Bradley International
10535,Bridgeport,CT,Bridgeport Sikorsky
10538,Bandon,OR,Bandon State
10540,Bedford,MA,Laurence G Hanscom Field
10543,Benton Harbor/St. Joseph,MI,Southwest Michigan Regional
10551,Bethel,AK,Bethel Airport
10556,Blue Fox Bay,AK,Blue Fox Bay Airport
10557,Bradford,PA,Bradford Regional
10558,Scottsbluff,NE,Scottsbluff W Neb Regional Wm B Heilig Field
10559,Seattle,WA,Boeing Field/King County International
10560,Aurora,CO,Buckley Sfb
10561,Bakersfield,CA,Meadows Field
10562,Mobile,AL,Mobile International
10565,Beaver Falls,PA,Beaver County
10567,Bedford,IN,Virgil I Grissom Municipal
10569,Beaufort,SC,Beaufort Executive
10572,Borger,TX,Hutchinson County
10573,Bainbridge,GA,Decatur County Industrial Air Park
10577,Binghamton,NY,Greater Binghamton/Edwin A. Link Field
10580,Big Lake,AK,Big Lake Airport
10581,Bangor,ME,Bangor International
10582,Big Spring,TX,Big Spring McMahon-Wrinkle
10583,Bagdad,AZ,Bagdad Airport
10589,Bar Harbor,ME,Hancock County-Bar Harbor
10590,Bullhead City,AZ,Laughlin/Bullhead International
10599,Birmingham,AL,Birmingham-Shuttlesworth International
10612,Big Creek,AK,Big Creek Airport
10613,Block Island,RI,Block Island State
10614,Beatrice,NE,Beatrice Municipal
10615,El Paso,TX,Biggs AAF
10616,Big Delta,AK,Allen AAF
10617,Bishop,CA,Bishop Airport
10620,Billings,MT,Billings Logan International
10627,Bismarck/Mandan,ND,Bismarck Municipal
10629,Biloxi,MS,Keesler AFB
10630,Broomfield,CO,Rocky Mountain Metro
10631,Bemidji,MN,Bemidji Regional
10632,Wooster,OH,Wayne County
10640,Buckland,AK,Buckland Airport
10641,Baker,OR,Baker City Municipal
10642,Brooks Lake,AK,Brooks Lake Airport
10643,Branson,MO,Branson Airport
10644,"Kekaha, Kauai",HI,Barking Sands PMRF
10647,Cleveland,OH,Burke Lakefront
10654,Beckley,WV,Raleigh County Memorial
10655,Brookings,SD,Brookings Regional
10661,Boulder City,NV,Boulder City Municipal
10663,Princeton/Bluefield,WV,Mercer County
10665,Blythe,CA,Blythe Airport
10666,Bellingham,WA,Bellingham International
10670,Belmar/Farmingdale,NJ,Monmouth Executive
10676,Belleville,IL,Scott AFB MidAmerica St Louis
10680,Brigham City,UT,Brigham City Regional
10683,Bloomington,IN,Monroe County
10685,Bloomington/Normal,IL,Central Il Regional Airport at Bloomington
10687,Berlin,NH,Berlin Regional
10692,Big Mountain,AK,Big Mountain AFS
10693,Nashville,TN,Nashville International
10697,Baranof,AK,Warm Spring Bay Seaplane Base
10698,Banning,CA,Banning Municipal
10701,Barnwell,SC,Barnwell Regional
10703,Burns,OR,Burns Municipal
10713,Boise,ID,Boise Air Terminal
10715,Brookings,OR,Brookings Airport
10721,Boston,MA,Logan International
10722,Bartow,FL,Bartow Executive
10728,Beaumont/Port Arthur,TX,Jack Brooks Regional
10731,Brunswick,GA,Brunswick Golden Isles
10732,Aguadilla,PR,Rafael Hernandez
10735,Bartlett Cove,AK,Bartlett Cove Seaplane Base
10739,Brainerd,MN,Brainerd Lakes Regional
10741,Whitesburg,KY,Whitesburg Municipal
10744,Burlington,IA,Southeast Iowa Regional
10747,Brownsville,TX,Brownsville South Padre Island International
10754,Barrow,AK,Wiley Post/Will Rogers Memorial
10756,Bardstown,KY,Samuels Field
10763,Austin,TX,Bergstrom AFB
10765,Bisbee,AZ,Bisbee Municipal
10769,Boswell Bay,AK,Boswell Bay Airport
10770,Bartletts,AK,Bartletts Airport
10775,Barter Island,AK,Barter Island Airport
10778,Battle Creek,MI,Battle Creek Executive at Kellogg Field
10779,Butte,MT,Bert Mooney
10780,Butler,PA,Pittsburgh Butler Regional
10781,Baton Rouge,LA,Baton Rouge Metropolitan/Ryan Field
10783,Bettles,AK,Bettles Airport
10785,Burlington,VT,Patrick Leahy Burlington International
10786,Beatty,NV,Beatty Airport
10792,Buffalo,NY,Buffalo Niagara International
10796,Butler,MO,Butler Memorial
10800,Burbank,CA,Bob Hope
10809,Beaver Inlet,AK,Beaver Inlet Seaport
10811,Bartlesville,OK,Bartlesville Municipal
10812,St. James,MI,Beaver Island
10814,Batesville,AR,Batesville Regional
10815,Beverly,MA,Beverly Regional
10817,Brownwood,TX,Brownwood Regional
10819,Bowling Green,KY,Bowling Green-Warren County Regional
10821,Baltimore,MD,Baltimore/Washington International Thurgood Marshall
10823,Bowman,ND,Bowman Municipal
10825,Blaine,WA,Blaine Municipal
10828,Boxborough,MA,Sheraton Inn Heliport
10832,Borrego Springs,CA,Borrego Valley
10834,Boundary,AK,Boundary Airport
10836,Rock Hill,SC,Rock Hill/York County/Bryant Field
10837,Buffalo,WY,Johnson County
10838,Blytheville,AR,Arkansas International
10839,Burley/Rupert,ID,Burley Municipal
10841,Boyne Falls,MI,Boyne Mountain
10844,Blakely Island,WA,Blakely Island Airport
10849,Bozeman,MT,Bozeman Yellowstone International
10852,Washington,DC,Buzzards Point Seaplane Base
10853,Brazoria,TX,Eagle Air Park
10857,Camarillo,CA,Camarillo Airport
10858,Bakersfield,CA,Bakersfield Municipal
10867,Cadillac,MI,Wexford County
10868,Columbia,SC,Columbia Metropolitan
10874,Akron,OH,Akron-Canton Regional
10879,Caribou,ME,Caribou Municipal
10886,Corner Bay,AK,Corner Bay Airport
10888,Cumberland,MD,Greater Cumberland Regional
10889,Council Bluffs,IA,Council Bluffs Municipal
10892,Colby,KS,Murray
10894,Columbus,MS,Columbus AFB
10910,Concord,CA,Buchanan Field
10915,Charles City,IA,Northeast Iowa Regional
10917,Cold Bay,AK,Cold Bay Airport
10918,Cedar City,UT,Cedar City Regional
10921,Camden,AR,Harrell Field
10923,Candle,AK,Candle 2
10924,Camden,SC,Woodward Field
10925,Chadron,NE,Chadron Municipal
10926,Cordova,AK,Merle K Mudhole Smith
10927,Caldwell,NJ,Essex County
10928,Wichita,KS,Cessna Aircraft Field
10930,Crescent City,CA,Jack McNamara Field
10933,Chicopee Falls,MA,Westover ARB Metropolitan
10938,Central,AK,Central Airport
10945,Clemson,SC,Oconee County Regional
10946,Connersville,IN,Mettel Field
10947,Crestview,FL,Bob Sikes
10948,Chena Hot Springs,AK,Chena Hot Springs Airport
10949,Murray,KY,Kyle-Oakley Field
10950,Cortez,CO,Cortez Municipal
10951,Coffee Point,AK,Coffee Point Airport
10958,Clifton,AZ,Greenlee County
10960,Coffeyville,KS,Coffeyville Municipal
10961,Craig,AK,Craig Seaplane Base
10964,Cambridge,MD,Cambridge Dorchester Regional
10965,Cleveland,OH,Cuyahoga County
10967,Cape Girardeau,MO,Cape Girardeau Regional
10975,College Park,MD,College Park Airport
10977,Chicago,IL,Meigs Field
10979,Casa Grande,AZ,Casa Grande Municipal
10980,Chattanooga,TN,Lovell Field
10982,Chandler,AZ,Chandler Municipal
10986,Chicago,IL,Chicago Metropolitan Area
10987,Challis,ID,Challis Airport
10990,Charlottesville,VA,Charlottesville Albemarle
10991,Circle Hot Springs,AK,Circle Hot Springs Airport
10994,Charleston,SC,Charleston AFB/International
10996,Chuathbaluk,AK,Chuathbaluk Airport
10999,Chiloquin,OR,Chiloquin State
11001,Avalon,CA,Catalina
11002,Chico,CA,Chico Regional
11003,Cedar Rapids/Iowa City,IA,The Eastern Iowa
11004,Craig,CO,Craig-Moffat
11007,Chalkyitsik,AK,Chalkyitsik Airport
11008,Council,AK,Council Airport
11009,Carroll,IA,Arthur N Neu
11011,Cairo,IL,Cairo Regional
11013,Sault Ste. Marie,MI,Chippewa County International
11014,Chomley,AK,Chomley Airport
11021,Crafton Island,AK,Crafton Island Airport
11026,Clay Center,KS,Clay Center Municipal
11027,Clarksburg/Fairmont,WV,North Central West Virginia
11028,Crooked Creek,AK,Crooked Creek Airport
11029,Clear Lake,CA,Pearce Field
11031,Clarksdale,MS,Fletcher Field
11034,Cordova,AK,Cordova Municipal
11035,Clarksville,TN,Outlaw Field
11036,Chicken,AK,Chicken Airport
11040,Clear Lake City,TX,Clear Lake Metroport
11041,Carlsbad,CA,McClellan-Palomar
11042,Cleveland,OH,Cleveland-Hopkins International
11043,Clear,AK,Clear Mews
11044,Coalinga,CA,New Coalinga Municipal
11046,Clintonville,WI,Clintonville Municipal
11048,Clinton,OK,Clinton Regional
11049,College Station/Bryan,TX,Easterwood Field
11050,Port Angeles,WA,William R. Fairchild International
11053,Clarks Point,AK,Clarks Point Airport
11055,Calipatria,CA,Cliff Hatfield Memorial
11056,Chehalis,WA,Chehalis Centralia
11057,Charlotte,NC,Charlotte Douglas International
11058,Columbus,IN,Columbus Municipal
11066,Columbus,OH,John Glenn Columbus International
11067,Champaign/Urbana,IL,University of Illinois/Willard
11076,Hancock/Houghton,MI,Houghton County Memorial
11081,Canon City,CO,Fremont County
11083,Concordia,KS,Blosser Municipal
11085,Carlsbad,NM,Cavern City Air Terminal
11086,Chino,CA,Chino Airport
11090,Waco,TX,TSTC Waco
11092,Moab,UT,Canyonlands Regional
11093,Marina,CA,Marina Municipal
11095,Columbia,CA,Columbia Airport
11097,Cody,WY,Yellowstone Regional
11098,Coeur d'Alene,ID,Coeur d'Alene - Pappy Boyington Field
11099,Cocoa Beach,FL,Patrick Sfb
11105,Coleman,TX,Coleman Municipal
11106,Concord,NH,Concord Municipal
11109,Colorado Springs,CO,City of Colorado Springs Municipal
11110,Cotulla,TX,Cotulla-La Salle County
11111,Columbia,MO,Columbia Regional
11122,Casper,WY,Casper/Natrona County International
11123,St. Louis,MO,Bi-State Parks
11126,Culebra,PR,Benjamin Rivera Noriega
11128,Carbondale,CO,Glen-Aspen
11130,Cheraw,SC,Cheraw Municipal/Lynch Bellinger Field
11135,Myrtle Beach,SC,Grand Strand
11136,Jacksonville,FL,Jacksonville Executive at Craig
11140,Corpus Christi,TX,Corpus Christi International
11143,Corsicana,TX,C David Campbell Field-Corsicana Municipal
11146,Charleston/Dunbar,WV,West Virginia International Yeager
11147,Corinth,MS,Roscoe Turner
11149,Crested Butte,CO,Crested Butte Airpark
11150,Columbus,GA,Columbus Airport
11152,Clinton,OK,Clinton Sherman
11153,Carson City,NV,Carson City Airport
11154,Cape Spencer,AK,Cape Spencer C.G. Helipad
11158,Cape Sabine,AK,Cape Sabine Airport
11159,Crossville,TN,Crossville Memorial-Whitson Field
11162,Cut Bank,MT,Cut Bank International
11165,Coatesville,PA,Chester County G. O. Carlson
11169,Calverton,NY,Calverton Executive Airpark
11173,Cottonwood,AZ,Cottonwood Airport
11174,Cortland,NY,Cortland County Chase Field
11175,Cross City,FL,Cross City Airport
11176,Columbia,SC,Jim Hamilton L. B. Owens
11188,Cube Cove,AK,Cube Cove Airport
11191,Pittsburgh,PA,Civic Arena H/P
11193,Cincinnati,OH,Cincinnati/Northern Kentucky International
11197,Clovis,NM,Clovis Regional
11198,Corvallis,OR,Corvallis Municipal
11200,Clovis,NM,Cannon AFB
11202,Charlevoix,MI,Charlevoix Municipal
11203,Mosinee,WI,Central Wisconsin
11207,Clinton,IA,Clinton Municipal
11209,Center Island,WA,Center Island Airport
11213,Chitina,AK,Chitina Airport
11214,Coldfoot,AK,Coldfoot Airport
11218,Calexico,CA,Calexico International
11219,Conroe,TX,Conroe North Houston Regional
11227,Chefornak,AK,Chefornak Airport
11230,Chatham,AK,Chatham Airport
11233,Cheyenne,WY,Cheyenne Regional/Jerry Olson Field
11234,Cape Yakataga,AK,Yakataga
11238,Copper Center,AK,Copper Center 2
11241,Cape Romanzof,AK,Cape Romanzof LRRS
11245,Chisana,AK,Chisana Airport
11246,Chistochina,AK,Chistochina Airport
11247,Cape Pole,AK,Cape Pole Airport
11252,Daytona Beach,FL,Daytona Beach International
11257,Daggett,CA,Barstow/Daggett
11259,Dallas,TX,Dallas Love Field
11261,Danville,VA,Danville Regional
11267,Dayton,OH,James M Cox/Dayton International
11272,Dublin,GA,W H Bud Barron
11274,Dubuque,IA,Dubuque Regional
11278,Washington,DC,Ronald Reagan Washington National
11280,Dahl Creek,AK,Dahl Creek Airport
11282,Decatur,AL,Pryor Field Regional
11283,Dodge City,KS,Dodge City Regional
11284,Dorado,PR,Dorado Airport
11288,Decatur,IL,Decatur Airport
11289,Decorah,IA,Decorah Municipal
11292,Denver,CO,Denver International
11295,Detroit,MI,Coleman A. Young Municipal
11297,Defiance,OH,Defiance Memorial
11298,Dallas/Fort Worth,TX,Dallas/Fort Worth International
11299,Danger Bay,AK,Danger Bay Airport
11303,Douglas,WY,Converse County
11308,Dothan,AL,Dothan Regional
11309,Dalhart,TX,Dalhart Municipal
11315,Dickinson,ND,Dickinson - Theodore Roosevelt Regional
11317,Diomede Island,AK,Diomede Heliport
11327,Delta Junction,AK,Delta Junction Airport
11331,Dunkirk,NY,Chautauqua County/Dunkirk
11335,Del Rio,TX,Laughlin AFB
11336,Dillingham,AK,Dillingham Airport
11337,Duluth,MN,Duluth International
11339,Dillon,SC,Dillon County
11341,Dolomi,AK,Dolomi Airport
11342,The Dalles,OR,Columbia Gorge Regional/The Dalles Municipal
11344,Tucson,AZ,Davis Monthan AFB
11348,Deming,NM,Deming Municipal
11349,Sedalia,MO,Sedalia Regional
11353,Duncan Canal,AK,Duncan Canal Airport
11355,Dallas/Fort Worth,TX,Dallas North
11358,Augusta,GA,Daniel Field
11359,Dalton,GA,Dalton Municipal
11363,Danville,IL,Vermilion Regional
11367,Dora Bay,AK,Dora Bay Airport
11375,Dover,DE,Dover AFB
11376,Chicago,IL,Du Page County
11377,Dugway,UT,Michael AAF
11381,Deadhorse,AK,Badami
11383,Sebastian,FL,Sebastian Municipal
11384,Soda Springs,ID,Allen H Tigert
11385,Holtville,CA,Holtville Airport
11387,Springfield,TN,Springfield Robertson County
11388,Alpine,AK,Alpine Airstrip
11389,Colusa,CA,Colusa County
11390,Killdeer,ND,Dunn County Weydahl Field
11391,Fort Drum,NY,Wheeler-Sack AAF
11392,Anchorage,AK,Lake Hood
11394,New Smyrna Beach,FL,New Smyrna Beach Municipal Jack Bolt Field
11395,Delhi,LA,Delhi Municipal
11396,Georgetown,KY,Marshall Field
11397,Cozad,NE,Cozad Municipal
11398,Peach Springs,AZ,Grand Canyon West
11399,Whitmore,AZ,Grand Canyon Bar Ten Airstrip
11401,Ketchikan,AK,Neets Bay
11402,Haines,AK,Glacier Point
11403,Peach Springs,AZ,Hualapai
11404,Tsui River,AK,Tsui River Airport
11405,Cape Canaveral,FL,Cape Canaveral Sfs Skid Strip
11406,Platinum,AK,Platinum Mine
11407,Mercury,NV,Desert Rock
11409,Drummond Island,MI,Drummond Island Airport
11410,Drift River,AK,Drift River Airport
11411,Deering,AK,Deering Airport
11413,Durango,CO,Durango La Plata County
11415,Del Rio,TX,Del Rio International
11416,Drummond,MT,Drummond Airport
11421,Destin,FL,Destin Executive
11423,Des Moines,IA,Des Moines International
11424,Delta,UT,Delta Municipal
11425,Death Valley,CA,Furnace Creek
11427,Detroit Lakes,MN,Detroit Lakes-Wething Field
11429,Shreveport,LA,Shreveport Downtown
11430,Denton,TX,Denton Enterprise
11431,Decatur Island,WA,Decatur
11432,Detroit,MI,Detroit Metropolitan Area
11433,Detroit,MI,Detroit Metro Wayne County
11434,Durant,OK,Eaker Field
11436,Duncan,OK,Halliburton Field
11439,Duck,NC,Pine Island
11440,Douglas,AZ,Bisbee Douglas International
11441,DuBois,PA,DuBois Regional
11445,Unalaska,AK,Unalaska Airport
11447,Devils Lake,ND,Devils Lake Regional
11448,Davenport,IA,Davenport Municipal
11450,Phoenix,AZ,Phoenix - Deer Valley
11452,Davis/Woodland/Winters,CA,Yolo County
11453,Houston,TX,David Wayne Hooks Memorial
11454,Orlando,FL,Walt Disney World
11456,Danbury,CT,Danbury Municipal
11459,Abilene,TX,Dyess AFB
11463,Eagle,AK,Eagle Airport
11464,Noatak,AK,Eagle Creek Strip
11467,Wheatland,WY,Phifer Airfield
11468,Kearney,NE,Kearney Regional
11470,Wenatchee,WA,Pangborn Memorial
11471,Eau Claire,WI,Chippewa Valley Regional
11478,East Tawas,MI,Iosco County
11479,Elizabeth City,NC,Elizabeth City CGAS/Regional
