Code,Cities,State,Airport_Name
10926,Cordova,AK,Merle K Mudhole Smith
10980,Chattanooga,TN,Lovell Field
10990,Charlottesville,VA,Charlottesville Albemarle
10994,Charleston,SC,Charleston AFB/International
11003,Cedar Rapids/Iowa City,IA,The Eastern Iowa
11013,Sault Ste. Marie,MI,Chippewa County International
11042,Cleveland,OH,Cleveland-Hopkins International
11049,College Station/Bryan,TX,Easterwood Field
11057,Charlotte,NC,Charlotte Douglas International
11066,Columbus,OH,John Glenn Columbus International
11067,Champaign/Urbana,IL,University of Illinois/Willard
11076,Hancock/Houghton,MI,Houghton County Memorial
11097,Cody,WY,Yellowstone Regional
11109,Colorado Springs,CO,City of Colorado Springs Municipal
11111,Columbia,MO,Columbia Regional
11122,Casper,WY,Casper/Natrona County International
11140,Corpus Christi,TX,Corpus Christi International
11146,Charleston/Dunbar,WV,West Virginia International Yeager
11150,Columbus,GA,Columbus Airport
11193,Cincinnati,OH,Cincinnati/Northern Kentucky International
11203,Mosinee,WI,Central Wisconsin
11252,Daytona Beach,FL,Daytona Beach International
11259,Dallas,TX,Dallas Love Field
11267,Dayton,OH,James M Cox/Dayton International
11274,Dubuque,IA,Dubuque Regional
11278,Washington,DC,Ronald Reagan Washington National
11292,Denver,CO,Denver International
11298,Dallas/Fort Worth,TX,Dallas/Fort Worth International
11308,Dothan,AL,Dothan Regional
11315,Dickinson,ND,Dickinson - Theodore Roosevelt Regional
11337,Duluth,MN,Duluth International
11413,Durango,CO,Durango La Plata County
11423,Des Moines,IA,Des Moines International
11433,Detroit,MI,Detroit Metro Wayne County
11447,Devils Lake,ND,Devils Lake Regional
11471,Eau Claire,WI,Chippewa Valley Regional
11481,Panama City,FL,Northwest Florida Beaches International
11503,Eagle,CO,Eagle County Regional
11525,Elko,NV,Elko Regional
11537,Elmira/Corning,NY,Elmira/Corning Regional
11540,El Paso,TX,El Paso International
11577,Erie,PA,Erie International/Tom Ridge Field
11587,Escanaba,MI,Delta County
11603,Eugene,OR,Mahlon Sweet Field
11612,Evansville,IN,Evansville Regional
11617,New Bern/Morehead/Beaufort,NC,Coastal Carolina Regional
11618,Newark,NJ,Newark Liberty International
11624,Key West,FL,Key West International
11630,Fairbanks,AK,Fairbanks International
11637,Fargo,ND,Hector International
11638,Fresno,CA,Fresno Yosemite International
11641,Fayetteville,NC,Fayetteville Regional/Grannis Field
11648,Kalispell,MT,Glacier Park International
11695,Flagstaff,AZ,Flagstaff Pulliam
11697,Fort Lauderdale,FL,Fort Lauderdale-Hollywood International
11721,Flint,MI,Bishop International
11775,Sioux Falls,SD,Joe Foss Field
11778,Fort Smith,AR,Fort Smith Regional
11823,Fort Wayne,IN,Fort Wayne International
11865,Gillette,WY,Northeast Wyoming Regional
11867,Garden City,KS,Garden City Regional
11884,Spokane,WA,Spokane International
11898,Grand Forks,ND,Grand Forks International
11905,Longview,TX,East Texas Regional
11921,Grand Junction,CO,Grand Junction Regional
11953,Gainesville,FL,Gainesville Regional
11973,Gulfport/Biloxi,MS,Gulfport-Biloxi International
11977,Green Bay,WI,Green Bay Austin Straubel International
11980,Grand Island,NE,Central Nebraska Regional
11982,Killeen,TX,Robert Gray AAF
11986,Grand Rapids,MI,Gerald R. Ford International
11995,Greensboro/High Point,NC,Piedmont Triad International
11996,Greer,SC,Greenville-Spartanburg International
12003,Great Falls,MT,Great Falls International
12007,Columbus,MS,Golden Triangle Regional
12016,Guam,TT,Guam International
12094,Hayden,CO,Yampa Valley
12129,Hibbing,MN,Range Regional
12156,Helena,MT,Helena Regional
12173,Honolulu,HI,Daniel K Inouye International
12177,Hobbs,NM,Lea County Regional
12191,Houston,TX,William P Hobby
12197,White Plains,NY,Westchester County
12206,Harlingen/San Benito,TX,Valley International
12217,Huntsville,AL,Huntsville International-Carl T Jones Field
12255,Hays,KS,Hays Regional
12264,Washington,DC,Washington Dulles International
12265,Niagara Falls,NY,Niagara Falls International
12266,Houston,TX,George Bush Intercontinental/Houston
12278,Wichita,KS,Wichita Dwight D Eisenhower National
12280,Idaho Falls,ID,Idaho Falls Regional
12323,Wilmington,NC,Wilmington International
12335,Iron Mountain/Kingsfd,MI,Ford
12339,Indianapolis,IN,Indianapolis International
12343,International Falls,MN,Falls International Einarson Field
12389,Williston,ND,Sloulin Field International
12391,Islip,NY,Long Island MacArthur
12402,Hilo,HI,Hilo International
12441,Jackson,WY,Jackson Hole
12448,Jackson/Vicksburg,MS,Jackson Medgar Wiley Evers International
12451,Jacksonville,FL,Jacksonville International
12478,New York,NY,John F. Kennedy International
12511,Joplin,MO,Joplin Regional
12519,Jamestown,ND,Jamestown Regional
12523,Juneau,AK,Juneau International
12758,Kona,HI,Ellison Onizuka Kona International at Keahole
12819,Ketchikan,AK,Ketchikan International
12884,Lansing,MI,Capital Region International
12888,Laramie,WY,Laramie Regional
12889,Las Vegas,NV,Harry Reid International
12891,Lawton/Fort Sill,OK,Lawton-Fort Sill Regional
12892,Los Angeles,CA,Los Angeles International
12896,Lubbock,TX,Lubbock Preston Smith International
12898,Latrobe,PA,Arnold Palmer Regional
12915,Lake Charles,LA,Lake Charles Regional
12945,Lexington,KY,Blue Grass
12951,Lafayette,LA,Lafayette Regional Paul Fournet Field
12953,New York,NY,LaGuardia
12954,Long Beach,CA,Long Beach Airport
12982,Lihue,HI,Lihue Airport
12992,Little Rock,AR,Bill and Hillary Clinton Nat Adams Field
13029,Lincoln,NE,Lincoln Airport
13061,Laredo,TX,Laredo International
13076,La Crosse,WI,La Crosse Regional
13127,Lewiston,ID,Lewiston Nez Perce County
13158,Midland/Odessa,TX,Midland International Air and Space Port
13184,Saginaw/Bay City/Midland,MI,MBS International
13198,Kansas City,MO,Kansas City International
13204,Orlando,FL,Orlando International
13230,Harrisburg,PA,Harrisburg International
13232,Chicago,IL,Chicago Midway International
13241,Meridian,MS,Key Field
13244,Memphis,TN,Memphis International
13256,Mission/McAllen/Edinburg,TX,McAllen International
13264,Medford,OR,Rogue Valley International - Medford
13277,Montgomery,AL,Montgomery Regional
13290,Manhattan/Ft. Riley,KS,Manhattan Regional
13296,Manchester,NH,Manchester Boston Regional
13303,Miami,FL,Miami International
13342,Milwaukee,WI,General Mitchell International
13344,Muskegon,MI,Muskegon County
13360,Melbourne,FL,Melbourne Orlando International
13367,Moline,IL,Quad Cities International
13377,Monroe,LA,Monroe Regional
13422,Mobile,AL,Mobile Regional
13433,Minot,ND,Minot International
13459,Marquette,MI,Marquette Sawyer Regional
13476,Monterey,CA,Monterey Regional
13485,Madison,WI,Dane County Regional-Truax Field
13486,Missoula,MT,Missoula Montana
13487,Minneapolis,MN,Minneapolis-St Paul International
13495,New Orleans,LA,Louis Armstrong New Orleans International
13502,Montrose/Delta,CO,Montrose Regional
13541,Martha's Vineyard,MA,Martha's Vineyard Airport
13577,Myrtle Beach,SC,Myrtle Beach International
13795,Jacksonville/Camp Lejeune,NC,Albert J Ellis
13796,Oakland,CA,Oakland International
13830,Kahului,HI,Kahului Airport
13851,Oklahoma City,OK,Okc Will Rogers International
13871,Omaha,NE,Eppley Airfield
13873,Nome,AK,Nome Airport
13891,Ontario,CA,Ontario International
13930,Chicago,IL,Chicago O'Hare International
13931,Norfolk,VA,Norfolk International
13933,Worcester,MA,Worcester Regional
13964,North Bend/Coos Bay,OR,Southwest Oregon Regional
13970,Kotzebue,AK,Ralph Wien Memorial
14006,Paducah,KY,Barkley Regional
14025,Plattsburgh,NY,Plattsburgh International
14027,West Palm Beach/Palm Beach,FL,Palm Beach International
14057,Portland,OR,Portland International
14098,Newport News/Williamsburg,VA,Newport News/Williamsburg International
14100,Philadelphia,PA,Philadelphia International
14107,Phoenix,AZ,Phoenix Sky Harbor International
14108,Peoria,IL,General Downing - Peoria International
14109,Hattiesburg/Laurel,MS,Hattiesburg-Laurel Regional
14113,Pocatello,ID,Pocatello Regional
14122,Pittsburgh,PA,Pittsburgh International
14150,Pellston,MI,Pellston Regional Emmet County
14193,Pensacola,FL,Pensacola International
14222,Pago Pago,TT,Pago Pago International
14252,Pasco/Kennewick/Richland,WA,Tri Cities
14254,Ponce,PR,Mercedita
14256,Petersburg,AK,Petersburg James A Johnson
14262,Palm Springs,CA,Palm Springs International
14307,Providence,RI,Rhode Island Tf Green International
14321,Portland,ME,Portland International Jetport
14457,Rapid City,SD,Rapid City Regional
14487,Redding,CA,Redding Regional
14489,Bend/Redmond,OR,Roberts Field
14492,Raleigh/Durham,NC,Raleigh-Durham International
14520,Rhinelander,WI,Rhinelander/Oneida County
14524,Richmond,VA,Richmond International
14543,Rock Springs,WY,Southwest Wyoming Regional
14570,Reno,NV,Reno/Tahoe International
14574,Roanoke,VA,Roanoke Blacksburg Regional
14576,Rochester,NY,Frederick Douglass Grtr Rochester International
14588,Roswell,NM,Roswell Air Center
14633,Rochester,MN,Rochester International
14635,Fort Myers,FL,Southwest Florida International
14674,Santa Fe,NM,Santa Fe Regional
14679,San Diego,CA,San Diego International
14683,San Antonio,TX,San Antonio International
14685,Savannah,GA,Savannah/Hilton Head International
14689,Santa Barbara,CA,Santa Barbara Municipal
14696,South Bend,IN,South Bend International
14698,San Luis Obispo,CA,San Luis Obispo County Regional
14709,Deadhorse,AK,Deadhorse Airport
14711,State College,PA,State College Regional
14730,Louisville,KY,Louisville Muhammad Ali International
14747,Seattle,WA,Seattle/Tacoma International
14771,San Francisco,CA,San Francisco International
14783,Springfield,MO,Springfield-Branson National
14794,St. George,UT,St George Regional
14814,Shreveport,LA,Shreveport Regional
14828,Sitka,AK,Sitka Rocky Gutierrez
14831,San Jose,CA,Norman Y. Mineta San Jose International
14842,San Angelo,TX,San Angelo Regional/Mathis Field
14843,San Juan,PR,Luis Munoz Marin International
14869,Salt Lake City,UT,Salt Lake City International
14893,Sacramento,CA,Sacramento International
14905,Santa Maria,CA,Santa Maria Public/Capt. G. Allan Hancock Field
14908,Santa Ana,CA,John Wayne Airport-Orange County
14952,Springfield,IL,Abraham Lincoln Capital
14960,Wichita Falls,TX,Sheppard AFB/Wichita Falls Municipal
14986,Sarasota/Bradenton,FL,Sarasota/Bradenton International
15016,St. Louis,MO,St Louis Lambert International
15024,Charlotte Amalie,VI,Cyril E King
15027,Christiansted,VI,Henry E. Rohlsen
15041,Sun Valley/Hailey/Ketchum,ID,Friedman Memorial
15048,Sioux City,IA,Sioux Gateway Brig Gen Bud Day Field
15070,Newburgh/Poughkeepsie,NY,New York Stewart International
15096,Syracuse,NY,Syracuse Hancock International
15249,Tallahassee,FL,Tallahassee International
15295,Toledo,OH,Eugene F Kranz Toledo Express
15304,Tampa,FL,Tampa International
15323,Bristol/Johnson City/Kingsport,TN,Tri Cities
15356,Trenton,NJ,Trenton Mercer
15370,Tulsa,OK,Tulsa International
15376,Tucson,AZ,Tucson International
15380,Traverse City,MI,Cherry Capital
15389,Twin Falls,ID,Joslin Field - Magic Valley Regional
15401,Texarkana,AR,Texarkana Regional-Webb Field
15411,Tyler,TX,Tyler Pounds Regional
15412,Knoxville,TN,McGhee Tyson
15497,St. Augustine,FL,Northeast Florida Regional
15607,Valdosta,GA,Valdosta Regional
15624,Valparaiso,FL,Eglin AFB Destin Fort Walton Beach
15841,Wrangell,AK,Wrangell Airport
15919,Fayetteville,AR,Northwest Arkansas National
15991,Yakutat,AK,Yakutat Airport
16218,Yuma,AZ,Yuma MCAS/Yuma International
